"fecha";"Run Fondo";"id_serie";"periodo";"rent"
2023-01-31;8011;B;"1M";0.00884100983790821653000000000000000000000000000000
2023-01-31;8011;B;"3M";0.02515238109582500508900000000000000000000000000000
2023-01-31;8011;B;"6M";0.04919609211910501747300000000000000000000000000000
2023-01-31;8011;B;"1Y";0.08760271583949115991600000000000000000000000000000
2023-01-31;8011;B;YTD;0.00914539929063917828000000000000000000000000000000
2023-02-01;8011;B;"1M";0.00879880716916674888000000000000000000000000000000
2023-02-01;8011;B;"3M";0.02512668989245294155300000000000000000000000000000
2023-02-01;8011;B;"6M";0.04923201088486168387200000000000000000000000000000
2023-02-01;8011;B;"1Y";0.08775220982479141842500000000000000000000000000000
2023-02-01;8011;B;YTD;0.00940762953357517913000000000000000000000000000000
2023-02-02;8011;B;"1M";0.00875335153768320924000000000000000000000000000000
2023-02-02;8011;B;"3M";0.02510173167034993457800000000000000000000000000000
2023-02-02;8011;B;"6M";0.04925846009719163582300000000000000000000000000000
2023-02-02;8011;B;"1Y";0.08789659241743523430100000000000000000000000000000
2023-02-02;8011;B;YTD;0.00966678516449137319000000000000000000000000000000
2023-02-03;8011;B;"1M";0.00871106187959645853000000000000000000000000000000
2023-02-03;8011;B;"3M";0.02507507070169079212500000000000000000000000000000
2023-02-03;8011;B;"6M";0.04928756310249700956400000000000000000000000000000
2023-02-03;8011;B;"1Y";0.08806650424168329358400000000000000000000000000000
2023-02-03;8011;B;YTD;0.00992915205685054073000000000000000000000000000000
2023-02-04;8011;B;"1M";0.00867058510110308543000000000000000000000000000000
2023-02-04;8011;B;"3M";0.02502056258568892684500000000000000000000000000000
2023-02-04;8011;B;"6M";0.04931701445870203213600000000000000000000000000000
2023-02-04;8011;B;"1Y";0.08821209227998218841100000000000000000000000000000
2023-02-04;8011;B;YTD;0.01019172392334432767000000000000000000000000000000
2023-02-05;8011;B;"1M";0.00862923715895774389000000000000000000000000000000
2023-02-05;8011;B;"3M";0.02499357689809671842900000000000000000000000000000
2023-02-05;8011;B;"6M";0.04935195492038018645200000000000000000000000000000
2023-02-05;8011;B;"1Y";0.08835771068002538946700000000000000000000000000000
2023-02-05;8011;B;YTD;0.01045443243926121831000000000000000000000000000000
2023-02-06;8011;B;"1M";0.00857140987072317699000000000000000000000000000000
2023-02-06;8011;B;"3M";0.02496646289307306034700000000000000000000000000000
2023-02-06;8011;B;"6M";0.04938069737101686353000000000000000000000000000000
2023-02-06;8011;B;"1Y";0.08850336591052242736700000000000000000000000000000
2023-02-06;8011;B;YTD;0.01071720927988961637000000000000000000000000000000
2023-02-07;8011;B;"1M";0.00853073655892177374000000000000000000000000000000
2023-02-07;8011;B;"3M";0.02493645705865883818500000000000000000000000000000
2023-02-07;8011;B;"6M";0.04940913575749945795700000000000000000000000000000
2023-02-07;8011;B;"1Y";0.08864419168685984745400000000000000000000000000000
2023-02-07;8011;B;YTD;0.01097984947109495515000000000000000000000000000000
2023-02-08;8011;B;"1M";0.00859931230304072559000000000000000000000000000000
2023-02-08;8011;B;"3M";0.02516129407589673660100000000000000000000000000000
2023-02-08;8011;B;"6M";0.04955031864837499120100000000000000000000000000000
2023-02-08;8011;B;"1Y";0.08888197728803523649200000000000000000000000000000
2023-02-08;8011;B;YTD;0.01135221914905253843000000000000000000000000000000
2023-02-09;8011;B;"1M";0.00836647715664128290000000000000000000000000000000
2023-02-09;8011;B;"3M";0.02526268396810337240900000000000000000000000000000
2023-02-09;8011;B;"6M";0.04959513933267903319400000000000000000000000000000
2023-02-09;8011;B;"1Y";0.08900630419581759809600000000000000000000000000000
2023-02-09;8011;B;YTD;0.01163815806689706048000000000000000000000000000000
2023-02-10;8011;B;"1M";0.00835662485494710173000000000000000000000000000000
2023-02-10;8011;B;"3M";0.02521978333479489979500000000000000000000000000000
2023-02-10;8011;B;"6M";0.04964717141810671860300000000000000000000000000000
2023-02-10;8011;B;"1Y";0.08912307082287665052000000000000000000000000000000
2023-02-10;8011;B;YTD;0.01192232054224126424000000000000000000000000000000
2023-02-11;8011;B;"1M";0.00837461639795856617000000000000000000000000000000
2023-02-11;8011;B;"3M";0.02526551220938832804000000000000000000000000000000
2023-02-11;8011;B;"6M";0.04969253968188745033800000000000000000000000000000
2023-02-11;8011;B;"1Y";0.08933511248250828119900000000000000000000000000000
2023-02-11;8011;B;YTD;0.01220976260373992714000000000000000000000000000000
2023-02-12;8011;B;"1M";0.00839239136847533281000000000000000000000000000000
2023-02-12;8011;B;"3M";0.02527851308399169656000000000000000000000000000000
2023-02-12;8011;B;"6M";0.04973676364321307794600000000000000000000000000000
2023-02-12;8011;B;"1Y";0.08945482648009225883700000000000000000000000000000
2023-02-12;8011;B;YTD;0.01249734131466169376000000000000000000000000000000
2023-02-13;8011;B;"1M";0.00841050102381159500000000000000000000000000000000
2023-02-13;8011;B;"3M";0.02529129765021686596600000000000000000000000000000
2023-02-13;8011;B;"6M";0.04978075022607697681700000000000000000000000000000
2023-02-13;8011;B;"1Y";0.08957427168573249041600000000000000000000000000000
2023-02-13;8011;B;YTD;0.01278478337616035234000000000000000000000000000000
2023-02-14;8011;B;"1M";0.00845179183495829084000000000000000000000000000000
2023-02-14;8011;B;"3M";0.02526462465073773503800000000000000000000000000000
2023-02-14;8011;B;"6M";0.04984877810328470062800000000000000000000000000000
2023-02-14;8011;B;"1Y";0.08972016451711272348500000000000000000000000000000
2023-02-14;8011;B;YTD;0.01309566081372130224000000000000000000000000000000
2023-02-15;8011;B;"1M";0.00838393235902793458000000000000000000000000000000
